,Case 1,Case 2,Case 3,Case 4,Case 5,Case 6,Case 7,Case 8,Case 9,Case 10,Case 11,Case 12,Case 13,Case 14,Case 15,Case 16,Case 17,Case 18,Case 19,Case 20,Case 21,Case 22,Case 23,Case 24,Case 25,Case 26,Case 27,Case 28,Case 29,Case 30,Case 31,Case 32,Case 33,Case 34,Case 35,Case 36,Case 37,Case 38,Case 39,Case 40,Case 41,Case 42,Case 43,Case 44,Case 45,Case 46,Case 47,Case 48,Case 49,Case 50,Case 51,Case 52,Case 53,Case 54,Case 55,Case 56,Case 57,Case 58,Case 59,Case 60,Case 61,Case 62,Case 63,Case 64,Case 65,Case 66,Case 67,Case 68,Case 69,Case 70,Case 71,Case 72,Case 73,Case 74,Case 75,Case 76,Case 77,Case 78,Case 79,Case 80,Case 81,Case 82,Case 83,Case 84,Case 85,Case 86,Case 87,Case 88,Case 89,Case 90,Case 91,Case 92,Case 93,Case 94,Case 95,Case 96,Case 97,Case 98,Case 99,Case 100,Case 101,Case 102,Case 103,Case 104,Case 105,Case 106,Case 107,Case 108,Case 109,Case 110,Case 111,Case 112,Case 113,Case 114,Case 115,Case 116,Case 117,Case 118,Case 119,Case 120,Case 121,Case 122,Case 123,Case 124,Case 125,Case 126,Case 127,Case 128,Case 129,Case 130,Case 131,Case 132,Case 133,Case 134,Case 135,Case 136,Case 137,Case 138,Case 139,Case 140,Case 141,Case 142,Case 143,Case 144,Case 145,Case 146,Case 147,Case 148,Case 149,Case 150,Case 151,Case 152,Case 153,Case 154,Case 155,Case 156,Case 157,Case 158,Case 159,Case 160,Case 161,Case 162,Case 163,Case 164,Case 165,Case 166,Case 167,Case 168,Case 169,Case 170,Case 171,Case 172,Case 173,Case 174,Case 175,Case 176,Case 177,Case 178,Case 179,Case 180,Case 181,Case 182,Case 183,Case 184,Case 185,Case 186,Case 187
0,1.0,61.7849721825,546.227615325,94.48572063,289.3855552,89.663106925,650.16323855,484.579261775,3.3466666345,165.0745124875,146.2496357,1138.6186371,2.620047241,40095.9145475,311.39198685,32914.6801725,3.9224049445,2088.0176695,3294.660614,1768.933411,2217.9361575,2905.44027725,5.6017228365,26041.2167925,12831.6126715,15.45106959375,83.69274998,1063.182464575,2259.378387,5183.8464965,2.1496424075,8.3567792175,40.5121221575,371.9483796,4343.379516,5305.8359375,681.309906025,1064.049026425,1501.088989225,2058.2725835,367.9251366,34712.969235,4.9148079155,2861.42944325,8647.53015175,37.388188845,7.32248401675,48.9197344825,403.750682825,761.520019575,32.8060913075,44.63065768,4.3446258905,25412.2712375,323.23265835,74.28163337,2375.77240075,921.879684425,1.0,1398.060836725,625.033744825,103.658473975,1.20798148275,446.454357125,1238.327728225,15.13372588175,272.943897275,131.5017414025,19.63605357,36.89336777,26.2771635,5.84533113325,1660.25973505,9697.59680225,3039.6523745,175.706691825,3668.146972,1.849250018,6796.80731275,81.0911817625,4853.3020025,47.09031677,3600.0956425,8.62513566075,676.819923325,3866.345154,44.4567251275,1.0,1.0,52.5243496925,28.0215959625,1.950251996,7264.89855875,2.19770383875,4397.29754625,547.2567443,4338.50592,339.6804313,13360.1374515,2190.928222,2.6384910055,1361.202636675,7899.18810975,8500.87109375,3286.6879885,44.5648851375,207.8386555,11.3964290615,44.40064573,166.93681144,1.0,10.88325393225,1259.823974675,1.0,1.0,6.7204358585,35.399575225,1.26635084975,4.43239742575,36.96092939,7.47037124575,1.92527729275,33.222218995,6.4284023055,5.3512452245,36.4376330325,487.924919125,7524.07971175,1.0,657.088523875,574.176933225,31.543876175,3696.02819775,2131.762542,12.1620974545,166.2456073775,3776.67431575,2622.25665275,297.95704645,147.5412407,119.2282295225,381.066986125,3645.845581,226.94396585,810.20738225,940.4443818,2183.8305965,308.2569084,19763.0148975,1426.416946325,2.50529557425,10.11828315225,168.50804901,432.490406075,11.63442933625,36.5402822575,3533.81546,5276.40979075,55.0271506225,5697.29290725,356.96958535,17.90663147,14.640465259,49.85484266,1264.979232825,183.1491718,3058.5924075,8756.864991,139.954351425,1.54187013225,2229.00055,21.1286995325,984.20794675,13.86881208475,1179.7648926,6105.1347665,356.7287521,9616.68493625,1.0,1.50713103975,1.0,1.0,27711.2961475,2.01194837725,22819.242915,1181.064468325,40.88829899
1,1.501131863,245.673393175,752.34458915,220.837204,1181.86437985,331.3653679,1252.097976675,781.45286555,14.078905344,401.155589975,900.778213475,2504.50784325,5.62744897575,54703.72509,1170.19628915,36082.4980425,79.7997303075,2766.0097955,7561.09716775,2520.61908,5896.02770925,3089.131318,23.5757815825,37477.036135,15437.040528,80.396159165,298.681468925,1915.92465225,4192.3728035,6021.7068485,35.5292577675,63.604806895,253.2737809,616.3393936,6124.476197,7688.96252425,1095.3245086,1886.50213675,2028.92163075,2744.079254,757.184112475,33257.1059625,43.16179896,3572.99200475,13622.92541575,251.6947594,50.49607563,414.130599925,882.348419225,1645.450637775,179.4870854,233.1593551,57.5456695625,18240.70801,1224.1693268,410.551078875,3459.149505,2246.94210825,3.41510903825,3342.31991625,2895.00820875,354.389659925,11.139129281,1470.4198761,2888.757172,114.526172635,938.3828125,367.17633435,90.839362145,110.405550955,261.292629325,42.9300212775,3170.80731275,12934.72082525,3293.6397095,484.92303475,4206.62145925,17.9823742,5351.8208625,128.10884667,5695.1011355,108.90468883,3568.52237,32.0598425875,1126.239074625,11424.80493175,493.398262,2.0405534205,1.0,186.489501975,99.896972665,6.47136348425,14490.328125,9.25593865,6943.86456225,1293.384475775,5380.191712,850.922226,12488.194824,4272.50109825,19.0531179825,1694.2381897,8720.385009,11569.52087375,3401.387115,143.444684985,462.4518661,57.37670708,118.23372078,943.368240325,6.63142806375,125.0485496575,4028.51623475,5.227496981,10.188827992,61.858258245,225.686714225,7.42042183925,16.65904951025,56.40008927,37.061499125,33.153162,316.968883525,59.2106876375,28.3416399875,109.0607671825,1445.7210999,10931.60827675,5.71660488875,1589.23626715,1378.865310725,372.772590575,4638.76593075,4589.88214125,93.0329170225,286.4387855,6946.7027595,3318.32577475,475.71502685,745.800460825,518.29004675,655.258041375,6766.714661,619.506141625,1504.735427825,3217.74264525,4755.7890625,768.19104005,17787.77588,2241.47976675,32.2783389075,49.00162554,495.447708175,838.596069325,148.7525768225,151.1320705475,4367.99700925,5474.79766925,567.879753175,6484.237487,479.4089965,96.10621167,88.34525966,191.568523475,2288.4219365,445.7737809,4928.764771,10979.220581,1173.074432425,25.770165925,3259.22717225,64.28966236,4335.370361,68.8996944475,2541.75729325,9391.48181125,1163.17321785,10358.14404275,2.538503527,8.529440045,1.0,3.504265786,24811.0385775,14.56876301825,28349.9965875,2859.29128975,246.654296875
2,2.94155785525,300.73735055,599.256118825,212.57095335,2153.7821655,319.268402075,1167.4676818,762.339797975,78.633622165,442.50988775,1659.580093325,3126.21307425,8.116843819,40340.812015,2502.99667275,30019.6435525,137.1753425525,2012.16760325,7534.25671425,3176.67746025,6637.7427375,2621.3660585,27.49914909,32604.18847,13988.33618175,204.372207725,320.66181175,2562.03353875,5279.202698,4568.79113775,190.1424427,99.2653827725,308.788482625,474.77861025,5499.5382085,7004.65655575,1197.833450275,1378.641326825,1563.1480865,2829.9681095,640.501602125,28636.5556575,48.5233869575,6599.58667025,14472.2128915,420.2194976,58.857929235,658.858230625,1473.745132475,1568.439742975,839.667655925,259.22590645,424.936294475,11772.055176,2462.828277,724.2133178,5271.5772095,2205.50607375,21.7588257775,2867.15860025,4846.575867,398.87110515,24.892348775,1572.16650395,2937.5456845,140.398553855,974.8161164,391.697830125,292.3947831,121.0838794725,335.107776675,128.8317604,3130.336853,14679.205079,2775.5307615,481.5383377,3553.50509675,263.5762864,3084.06930475,134.7441520775,4498.2831425,117.3394412925,2804.24704,35.8657474525,1149.0038147,13664.862183,547.269134475,4.5863220095,15.61086630775,333.45468135,115.8563900025,10.68674409425,17930.8452225,31.5712332775,8326.07702675,1691.174194325,4792.3562015,744.566253725,9474.22912625,5121.27587825,24.79666567,1428.866775525,7008.1979975,11547.229736,2588.17309625,140.9533195525,480.82985685,69.605625145,110.82062054,1069.4651184,33.60840273,238.679107625,4680.00628725,177.0018348,42.9751024325,90.34473133,343.62311165,32.435084815,244.617214275,142.3138046225,57.0843172025,62.9659338,389.224315725,201.33782585,38.9537453725,399.04315185,1345.67341615,9698.268433,17.900746815,2469.0372315,1825.15493825,621.5666961,3687.479859,5737.36645475,260.482437075,281.2552757,10297.31957975,3318.541961,361.48629755,1822.7172845,675.3604508,654.49807745,7804.2634285,618.067070075,1380.109771775,4025.86261,6919.8943485,854.984375,13595.95251525,2039.430603,629.170661875,99.741868975,511.784477225,1003.46702575,292.0977668,197.305530625,3515.702148,4201.542786,790.748886025,5446.94506825,416.297832475,104.7872448,140.439996725,326.58931725,2658.35766525,574.171272325,5499.68902525,10929.9095465,1654.97555545,80.594047555,2852.40066475,111.4066286025,6122.4309685,146.450227735,2699.85864225,10894.13452225,1344.146759025,9079.47082525,8.7866839165,77.365996365,32.48648452,15.87105751,22447.55933,24.658591755,25311.952155,3174.16931125,538.5236206
3,15.9646410945,1105.146575925,597.8789978,1407.545272875,2264.55276425,1763.878235,1864.222535,1548.2754364,2642.664276,726.8324966,1877.2648615,3283.62741175,33.03290557,34958.3828125,5722.63714575,34977.7900325,474.262657225,2088.84033225,10778.190185,4608.029419,11185.442016,3437.9371635,75.7156581825,34758.0864225,14252.4545905,1093.995773325,892.951278625,2839.95541375,7033.15557875,6091.10229525,2873.81231725,263.2125664,1017.15599055,958.97682195,7869.286866,10773.0546875,1238.523300175,1801.29452475,1839.41705325,3065.66183525,970.959365775,30827.053215,87.111800195,7928.8193355,20512.61646,5856.55358925,100.45323372,918.4778442,2617.36853,1940.720306,1416.12490845,1094.60855105,983.59292605,15932.266602,2274.85153175,8694.1896965,5813.78881825,2088.64059425,1217.981521575,4857.17797775,9587.5151365,1355.856613125,296.666069,2139.54226675,5172.32922325,2214.28640825,2191.5825505,953.70941155,5070.65191675,181.5127125,740.387840325,5819.152465,3936.4485475,17734.5,2885.83331225,715.43303685,3829.596862,1956.8106075,4974.77447425,124.315689085,6538.60327225,474.76536555,3133.06076125,54.904080385,1484.187560975,15585.38037175,2536.8377685,2598.04077225,445.823795375,3813.19830325,574.792114225,56.4875478825,20989.551275,111.0373678225,10355.1080325,2586.2133185,6700.18731725,988.30950925,12872.514648,6183.76086475,39.8281545725,1574.9075013,10376.844604,11886.3597405,3052.9553215,210.7069587,3800.3146965,112.21230125,186.89379695,4036.20281925,54.7456822325,539.3942414,6574.033508,389.780136025,309.641132325,593.129409775,4101.43048175,364.5612145,1781.1625825,649.063613975,8016.045898,380.5361329,5187.6618045,5312.831237,101.99883652,177.9747543,2449.089965,11334.28515625,112.1650772025,2808.963409,3318.3591,816.416282675,3788.3791505,5516.8694455,5890.122742,1446.5292359,15347.3854975,4536.92071525,346.75100705,987.013565125,2897.251679,2011.37249775,8571.026611,1909.676818,2014.480713,6107.28936825,6431.287597,2734.017608,14689.7734375,2313.40451125,228.253421725,2618.32598825,1897.84701575,3117.39813175,3667.647522,1775.8944245,4822.10876525,4611.63494925,3412.35665925,8001.3110345,535.632392925,141.28132438,753.572334375,287.69884115,2126.13870175,3355.39086925,15311.173829,12668.91052175,4763.46069325,5533.683288,2763.96307425,555.9184113,8272.553345,4462.47863775,3148.13101225,11299.955079,3410.063202,9013.87658675,129.5831260675,158.6429100025,21.143013955,11.90942645025,24142.7180225,67.018870345,30022.9829025,7533.48596175,805.64487465
4,8.93359649175,622.771476775,650.726242075,535.38507085,2172.91253725,695.752479625,1555.419738775,1317.936706625,364.483055125,733.25283045,1423.2769012,3420.733673,20.2564716375,42639.8300825,2946.31640625,39735.28125,355.512409175,2198.96771325,16167.82617275,6435.19177175,14622.95044,4749.55169675,54.237192625,41602.59278,20332.30493,320.107673725,970.775863575,2461.431182,10718.0151365,7422.74462825,384.535369925,252.86255645,863.61656185,768.883872925,12943.25891075,14351.44409125,1266.16922005,2040.6409905,1919.991822,4309.920594,890.030731275,43424.8042025,91.0134782725,11583.36962825,24678.241945,1534.216262775,115.99551201,818.524848925,1822.59103425,2092.926941,826.586608925,536.21376795,304.3130265,18359.954095,2139.20666575,3246.47152725,6367.107971,2212.00982625,140.438781735,7197.25439475,12329.1199955,663.99266045,73.9298896875,2157.6049495,10254.23095725,416.22354515,1732.770767175,758.8849793,744.16122445,223.7848816,608.22374725,823.971328775,5819.149903,23461.038335,3717.9655765,795.60581975,5131.42126525,240.852054625,4088.57549975,215.0695687,8774.67346175,290.692287375,3922.35540725,61.688781735,1735.840530375,18211.3083425,1244.854339575,162.50813866,84.9506692825,735.1259307,299.67561715,32.1006879725,29339.2456,65.16866111,16084.47900325,3593.41479525,8269.757447,1028.337448075,16301.1713865,5680.5059815,45.9850511575,1927.21591125,12694.7597665,15985.70654275,3529.336426,223.5770264,1280.179367075,145.897264485,167.49422074,3102.208466,50.8833108,535.513832175,5943.584472,202.62108615,149.266433715,266.752140025,1109.089737,120.9336624125,300.740768475,112.772193905,1377.0361633,213.01844025,1421.39669805,758.778381375,82.49929142,349.1671638,2439.02896125,15436.252685,49.77756119,2591.36483725,2298.3263555,780.007331775,4030.9716195,9175.6199955,850.18015285,442.90015035,21836.90845,5951.43725575,368.149841325,867.213600225,1328.354675375,1153.174804775,9492.93908675,1004.7472687,2581.0970465,9426.73559625,9748.28698725,1828.9804995,18846.4729075,2641.0593265,352.784523,349.00681305,854.6847687,4846.115722,881.3128814,533.40126035,5772.18957525,5258.9132085,1139.084335375,11973.22229075,514.218605075,139.1307010625,349.7663498,571.77207185,1819.980988,745.102500975,12103.84252875,18736.19384,2439.9509575,832.746055575,3340.299256,245.60855865,10075.71215875,719.0732269,3620.1121215,15471.42529275,3422.38882475,13085.26269575,30.4347887025,74.2687091825,16.6199498185,19.72836208,34542.85352,46.9252762825,37844.3720725,8569.58850125,617.455734175
5,25.4704410975,1369.32875065,686.476593075,1480.086425825,2200.2129205,1256.7472687,1732.78497315,3173.31674275,963.468994075,1085.021041825,1238.887847925,2853.35961925,32.2317724225,33580.5483475,7332.07104525,32362.21338,626.65033725,2325.2259835,16813.65649425,8299.00842225,14376.602051,5529.94146775,61.5682916625,35397.9404275,17868.17676,1359.231857375,2195.6546325,2676.173829,8952.1925045,7782.95581,1222.2516327,382.382850675,3492.67636025,1296.8824463,12701.03601025,15609.234375,1153.578338675,3025.09631375,2163.91494725,3628.48913525,1145.15507505,36530.03662,79.8687171975,8837.172729,23049.25,4063.377381,159.203844065,655.801178025,3735.5399165,1932.1029665,2901.44168125,1141.465164175,1310.035644575,18424.19824,1794.059113,5434.9219365,5670.3234245,1648.81765755,305.566539775,7814.54809625,15315.4599605,1232.61566155,200.08963975,2007.899628,9052.70471175,953.539474475,2589.197205,1124.160842875,1762.91361925,193.70340535,1124.6191712,1662.867431575,6715.47589125,17840.306645,3983.985229,934.426834075,4938.7982175,615.744239775,5744.1148065,181.912548125,9496.290405,496.5841293,4215.956787,48.734990605,1886.04583825,21023.6506375,3202.84671,429.2187424,329.8639183,3038.431305,869.0699311,70.7826280525,29455.30273,261.3186912,14709.806153,3678.36285425,9447.27417025,1100.51063535,16142.79980425,6396.746888,41.451536175,2128.48898325,13234.714234,12878.94042925,3498.451873,221.258214975,2813.96774225,140.29086113,132.2732944575,6884.42907775,154.622991565,596.266143725,8338.89441,1053.687347475,496.432189925,632.6777114,2864.5624385,727.299369825,3110.33020025,578.941795425,2501.1761775,589.7894135,2761.48483275,1564.361679125,94.7307462675,1201.5548706,3644.557861,15910.57788075,103.4388761525,2690.25842225,3508.18795775,958.435180675,3777.95691,9885.2928475,1651.522552575,536.75807955,20701.3020025,5461.4043575,383.4883766,644.988487325,3170.016479,1128.0639496,8367.8753655,1740.421356275,3635.709168,8243.04260325,7407.070678,2877.371063,18818.069585,2517.491851,1505.6197205,1008.564926075,1128.02752685,8386.5759285,3472.22152725,1358.422653175,6976.18359375,5835.473693,2075.0197755,13960.70019575,587.3410263,99.3820276225,850.3281402,682.703903175,1557.1993255,1719.97645575,11837.4434815,13147.603882,4726.44879175,2259.9786685,2959.8457945,952.270019575,12572.254639,1780.33660875,3047.4671325,12961.43737875,4722.7214965,14939.18261675,100.63408565,165.87614631,80.2355079575,18.7347846,32159.7329025,48.09222222,31700.323725,11191.3046875,1558.138946525
6,12.5766196255,1993.126954,665.52027885,1193.776214575,2223.951996,696.78224945,2166.36434875,3160.65274,376.39125825,769.86509705,1188.69486995,2453.78775075,22.7057466475,32029.5800825,6772.25476025,29501.629885,374.228859025,2649.52734375,16313.8588865,8539.79064925,14165.64501975,5442.35601875,46.553378585,35192.33935,19265.033935,422.115882825,2327.94198525,1833.65093975,12959.63354525,9260.04296875,363.187190975,256.97303765,9133.37475575,1505.69085695,14056.25891075,15912.46630925,1144.7156525,4308.17529275,2307.780671,3956.5735475,1127.742126525,36662.3837825,58.9488592175,9404.3000485,23120.3488775,3960.76226875,89.6645555575,486.549987875,3104.24130275,1797.71505725,1356.49972535,637.900474575,307.447917875,22062.1440375,1542.678726225,6270.16113325,5438.32708825,1437.1527863,106.1284570675,9542.40051275,14707.72119075,1639.04023745,98.976424225,1947.215515,10950.75659125,366.463340775,2981.53558325,1055.49972535,1046.79971305,157.0047016125,658.3361358,795.7898025,7300.07373025,18971.141595,4046.86261,832.438278175,5577.5486445,225.810722375,6833.42358475,164.93826104,10580.147095,249.0675698,4547.862487,43.952524665,1935.3301695,21327.578125,3115.9358825,143.7184295575,119.09840012,2055.0289305,429.738327025,38.9100327525,30178.066415,106.92376233,14882.73144575,4078.192139,10546.6834725,1012.764114425,19191.615975,5931.47759925,34.63142347,2026.41946325,13613.05346625,15089.2109375,3570.595581,169.866144175,2293.295319,106.3552846825,111.3406858375,7476.02050825,72.2866678275,499.6033707,8994.223266,224.063259175,247.365421275,263.8788299,2335.49847475,208.0359764,5007.47076375,707.714515725,1420.546478225,251.5543023,2016.175812,779.4618454,69.6448717125,335.80352015,4143.36511225,16826.190185,55.8619227425,2203.19894375,3994.93640175,643.033035225,3934.340515,8043.21618625,866.04534905,451.504699625,23522.88134,5847.70703125,317.358425125,449.645484925,2843.5850835,903.40940865,8629.30126975,1588.25498965,4125.72582975,10911.77551275,9541.983521,2919.73785425,21601.890625,2608.066314,366.298904475,365.56422805,923.6535035,8922.4544675,4304.2997445,801.506034875,7743.30480875,6651.8645025,1775.909912,15017.0610345,547.055831875,78.530842775,363.4162483,395.002605375,1391.03135675,1441.656280575,13154.53979525,13709.7854005,5423.030823,2028.48284975,3166.200317,338.59039305,12654.371338,921.787185725,2959.8573305,13506.088134,5171.51831,15452.209472,46.33442163,78.61358834,30.9121394225,18.5878203,30386.95898,40.766033175,32607.3671875,12846.03479075,757.124137875
7,471.89635465,5856.8317255,1980.11474675,4542.610779,3171.1508185,2470.11709525,3201.4011225,7072.527588,2263.946503,1601.542450025,2219.87094175,3224.48800625,399.529010825,38393.6294,12267.22229075,42489.44287,1530.60581975,4815.91198725,20650.249515,24794.996345,16885.52954025,11660.7917475,422.282909475,48760.5336925,26469.8608475,1855.673554,6168.4522095,2576.6940605,11889.6401365,18353.0891075,2241.74060075,1355.136596625,10644.11523525,5045.30041575,19234.5114675,17939.1577225,2304.1616815,11373.98059,4159.4411005,4929.35052575,2603.84555025,44374.17579,623.06349945,11523.336426,36760.708495,6784.74743625,1148.51226805,1179.309448275,5453.28881825,2734.801818,3597.54754625,1856.10378975,1842.72329675,35637.0444325,3368.105713,8877.7696525,10382.8397225,2614.025757,784.03332525,11973.99560525,18829.3711025,3702.794067,997.824279725,3280.71850575,18497.551275,1945.0171195,3957.5946655,2206.77883825,3171.0675045,697.2430878,3735.8911135,3869.67852775,13045.69287175,24540.689215,7195.88891525,1737.9783631,8121.38684,1803.39742975,13806.526734,356.4093323,17971.3310525,1124.2814331,8739.269287,266.8550262,3174.54656925,33241.9609375,6551.621888,907.919097925,1058.27426145,3750.95837375,1739.4077148,519.04985055,50639.4355425,1053.78005985,23167.77491,6109.61743175,14316.73461925,2277.3878785,27181.61866,12114.20751975,274.3072395,4142.68322825,18119.898195,19090.4645925,7006.7389525,959.290740975,3680.759705,873.850227425,389.44667055,12794.883178,566.1544266,1624.52989195,11647.58728,1713.531127875,1789.5386355,1679.463058525,4399.59314025,2111.3694455,10366.29675375,4235.2597665,3487.69232175,1744.18357855,4236.177918,3043.84323075,486.4227753,1180.829910225,6862.44427575,19842.1699175,584.233772325,4190.107544,5955.43414375,1258.6887817,7348.97717225,10088.9140625,3310.26898125,1321.332138,24969.67676,8537.67663525,1356.963073725,1599.87544255,4794.490295,1572.352249125,11423.70434625,2802.1377265,7292.711426,10057.46533225,8652.83654725,4300.6437985,30846.9560525,3623.229309,2033.895416,2125.9761355,2079.30676275,16593.75805675,7816.1989745,2577.598114,12926.835572,9399.869507,3432.62863125,21022.4047775,1173.362075725,635.142867975,1842.475495,770.0010682,2677.62796,2608.01461725,17662.66285,12769.0253915,6634.7054445,4420.06079025,4121.81909125,1222.686462375,13355.32153375,2681.49112,3858.384705,19641.9948725,6394.53375225,19917.895025,580.0288697,747.81786345,527.702918925,293.20449445,33275.005855,440.8203163,45849.1831,16299.8469235,1975.15036075
8,362.579513625,13463.76257275,2188.922729,8877.5620115,4335.20758125,3840.266052,5136.0265495,14286.3984375,4670.10955775,2991.5166925,3209.59271325,3511.70611575,542.846977225,32413.729005,16213.03564475,30811.0707975,3467.0779115,5918.45385775,22023.797845,21834.42359,18253.773195,11009.43457075,585.8649979,41402.104975,25039.3315375,4900.73742725,9651.7789305,4200.2003785,13095.30297775,16003.71752875,5076.78930675,3369.48208625,17735.793705,11104.38403375,19230.4765625,17162.675537,2292.8819585,15730.5004885,5829.0846565,5345.642029,4041.1336665,49290.28125,568.9487762,11738.72314475,26757.4435975,11003.6889655,986.3504791,1846.81759675,8649.00756825,4186.50799525,7452.7825925,3861.87573275,4971.46844425,28047.318355,5242.18994075,12250.04956,10451.7485345,4446.5141595,2145.44744925,14741.24975575,21803.75757,8576.26635775,1298.7796325,4975.19787625,24188.7478,4298.31915275,5819.344727,3737.1690055,6238.08136,1127.416458175,5282.80011,6780.119934,15262.1208495,21371.2426725,7388.62304775,2845.298127,8880.9885255,3785.115845,13138.2659905,679.93412025,18285.6935975,1742.6913147,8977.646118,204.2950763,4011.9916375,37458.9721625,12117.39733925,1718.85290535,2470.82162425,7752.01208425,3931.6369015,576.6631318,56500.3461925,1921.213532,22889.57447,8942.839234,15791.08398525,3534.7818905,27809.8037175,12356.53979525,268.368225125,4813.618103,18164.196785,17568.57984,5776.21252425,1391.22938535,6879.54565375,1053.1664276,560.26045985,15477.135009,2164.27297975,2388.998017,13825.0657965,5422.87615975,5603.839661,3340.767731,8318.01403825,5368.39416575,19844.523195,11689.453979,6814.4820555,4511.669617,8758.02966325,5746.355286,817.988868725,4336.93408225,11238.0932615,19202.9550825,1279.211975125,8317.3184815,7915.88403375,3415.8532415,7180.05261225,13125.0068355,5510.190308,2021.468323,26065.0707975,8122.62329025,1580.3728332,2443.6316835,8685.69177175,2492.692566,12481.78100575,5442.036866,11056.54956,11332.4471435,9301.214965,6872.03979525,31543.483405,4741.59893725,7237.999146,3768.57843075,3763.045594,18596.2109375,11519.15625,5207.2753915,14475.039551,11656.0518795,6600.95343075,20920.76294,1695.731414825,483.433815025,6834.3165275,3508.31057675,3074.739318,5635.302491,20922.1882275,11879.752808,9640.6235345,11797.855713,4652.3690185,3443.774201,17298.94140625,5242.46722475,4582.982971,18951.407965,9747.5794675,19623.1345275,1102.014755275,2063.1156315,1764.24737475,313.431365975,28880.916505,817.36418155,38188.8623025,16135.73144575,5602.965088
9,2697.85336275,14814.139648,6929.0087895,10090.60595725,11076.139648,8240.04077225,10361.43212825,17876.10132,3884.2903435,6628.74108925,7074.94409125,8820.88269125,4561.641175,49488.4243175,24447.2675825,45190.974605,6109.17907775,13259.19372575,38749.583495,42959.926275,33485.521965,22252.03785,2270.26803675,64086.6953125,43676.035165,5242.71032775,16044.9416505,7313.50122125,21719.31153,30133.1542925,5331.970154,7833.170044,20622.876715,13821.35729975,32994.3461925,29323.6699175,6099.74890175,32785.344235,12534.4553215,10381.16149875,10873.5814215,81124.27148,3610.079529,20627.954095,38714.375,14488.7285165,3426.5245665,9165.11828575,12279.641479,9800.7587895,7571.56726025,6476.2569585,4529.33111575,44168.516595,20302.276365,19568.58715,21104.55053,11961.53369075,1787.40347275,28111.1523525,34482.9023525,15218.0905765,3584.81176725,13898.50854525,43839.954095,5734.46246275,11214.99462825,12465.39782775,6731.82061825,7185.2991945,22185.903565,5975.6736445,28476.786135,31594.36329,14551.1354975,6488.4821785,15102.73413075,4239.11523525,22429.8149425,2666.63790925,32746.7587825,6031.8415535,18168.64014,1129.14253235,9929.49230875,62607.1181575,17564.66285,1909.63003525,2425.1122735,9636.4160165,5210.00891075,3394.4289855,102824.79102,4324.9865715,40579.9296875,20877.1376975,26588.1721175,10068.2293705,46698.4492275,27787.4484825,4031.39031925,12750.67260775,27278.7966325,27872.60035,12042.3156735,7074.5740975,10858.288574,6406.9995115,2190.90536525,24546.49463,2087.49172975,15493.56860275,22850.3002875,3563.031829,5102.12072825,7861.70581,10803.1447755,6726.98547325,9006.31091325,5321.77734375,6903.37658675,6861.008301,10771.41064475,5585.53558325,3937.14923175,3182.71765175,18873.2355875,32654.97949,2060.26803675,12641.11047325,12603.913574,5565.1268925,13771.89587375,22702.84058,5644.94329875,4271.84399425,46537.620115,15313.800537,4211.56170575,8649.5758055,11864.91198725,4548.75884925,23720.01611,9035.84899875,21599.0434625,21566.90942,18836.759025,13113.79162625,52139.0454025,9491.9461665,5608.81195,6488.162597,6755.0183715,30614.3051725,17578.1364675,8528.78735275,26413.020025,18889.720465,9428.3369145,30772.1640625,5175.54895025,2682.27169875,5797.68805,4077.31414825,9948.28515625,7026.80627425,30721.995115,17189.01953125,14857.34448275,8957.91162175,8967.49047775,4725.0798945,32903.5922775,6718.894287,9769.12377875,36336.094235,19757.7922325,31373.6752875,2225.3196105,3018.75405825,1503.732894825,4812.61236575,48012.7060525,2055.73645025,53080.5625,26831.774165,5630.9830325
